	Variable list for netCDF file /jnet/productiondata/125rf01.nc
	Created using /jnet/local/proj/archives/scripts/getcdfvars
	on Fri Mar 25 17:12:22 MST 2005

Name	Units	Description
----	-----	------------------------------------------------
base_time	seconds since 1970-01-01 00:00:00 +0000	Start time of data recording.
Time	seconds since 2004-05-14 12:48:04 +0000	time of measurement
time_offset	seconds since 2004-05-14 12:48:04 +0000	Seconds since base_time.
ADIFR	mbar	Vertical Differential Pressure, Radome
BDIFR	mbar	Horizontal Differential Pressure, Radome
CNTEMP	deg_C	CN Counter Inlet Temperature
CNTS	count	TSI CN Counter Output
DPB	deg_C	Dew/Frost Point Temperature, Fuselage Bottom
DPT	deg_C	Dew/Frost Point Temperature, Fuselage Top
DTB	deg_C	Pyrgeometer Dome Temperature, Bottom
DTT	deg_C	Pyrgeometer Dome Temperature, Top
FCN	slpm	Raw CN Counter Sample Flow Rate
IRB	W/m2	Raw Infrared Irradiance, Bottom
IRT	W/m2	Raw Infrared Irradiance, Top
MCROUT	none	Multichannel Radiometer Digital Output
MCRSTAT	none	Multichannel Radiometer Status
PCAB	mbar	Interior Cabin Static Pressure
PCN	mbar	CN Counter Inlet Pressure
PLWC	W	Raw PMS-King Liquid Water Content Output
PODTMPL	deg_C	Pod Temperature, Left Wing
PODTMPR	deg_C	Pod Temperature, Right Wing
PSFD1	count	Raw PSFD, Low-order word
PSFD2	count	Raw PSFD, High-order word
QCF	mbar	Raw Dynamic Pressure, Fuselage
QCFR	mbar	Raw Dynamic Pressure, Fuselage Right
QCR	mbar	Raw Dynamic Pressure, Radome
RICE	V	Raw Icing-Rate Indicator
RSTB	deg_C	Radiometric Surface Temperature
RSTB1	deg_C	Radiometric Surface Temperature
RSTT	deg_C	Radiometric Sky/Cloud-Base Temperature
STB	deg_C	Pyrgeometer Sink Temperature, Bottom
STT	deg_C	Pyrgeometer Sink Temperature, Top
SWB	W/m2	Shortwave Irradiance, Bottom
SWT	W/m2	Shortwave Irradiance, Top
TEO3	ppb	Raw TECO Ozone Output
TEO3P	mbar	Internal TECO Ozone Sampling Pressure
TTRL	deg_C	Total Temperature, Radome Left
TTRR	deg_C	Total Temperature, Radome Right
TTWH	deg_C	Total Temperature, Deiced Wing
UVB	W/m2	Ultraviolet Irradiance, Bottom
UVT	W/m2	Ultraviolet Irradiance, Top
VLA	V	Raw Lyman-alpha Hygrometer Output
VLA1	V	Raw Lyman-alpha Hygrometer Output
XCMDL1	V	SIO Flask Sampler Switch Close
XCO2MR	ppb	RAF CO2 Concentration
XCO2PDI	V	CO2 Differential Pressure
XCO2ST	Vdc	RAF CO2 Status
XCOFCAL	Vdc	RAF CO2 Status
XCOFS	V	Raw CO Flow Rate
XCOMR	V	Raw CO Mixing Ratio
XFO3FNO	V	Raw Fast Ozone Nitric Oxide Flow Rate
XFO3FS	V	Fast Ozone Sample Flow Rate
XFO3HV	V	Fast Ozone High Voltage Housekeeping
XFO3P	V	Raw Fast Ozone Cell Pressure
XFO3S7	V	RAF Fast Ozone Signal
XFO3S8	V	Fast Ozone Second Raw Signal
XFO3T	V	Raw Fast Ozone Cell Temperature
XICN	slpm	CN Isokinetic Side Flow Rate
XLA1	V	Raw Experimental Lyman-Alpha Voltage
XMED1	V	Medusa pressure 1
XMED2	V	Medusa pressure 2
XMED3	V	Medusa flow
XSIO1	V	Scripps Flask Sampler Switch Voltage
ACINS	m/s2	Aircraft Vertical Acceleration
ALT	m	IRS Baro-Inertial Altitude
BYAWR	deg/s	IRS Body Yaw Rate
DAY	day	Raw Tape Date Component
GGALT	m	GPS Geopotential Altitude
GGLAT	degree_N	GPS Latitude
GGLON	degree_E	GPS Longitude
GGMODE	none	GPS Mode
GGNSAT	count	GPS Number of Satellites
GGSPD	m/s	GPS ground speed
GGTRK	degree_T	GPS Track Angle
GGVEW	m/s	GPS Ground Speed Vector, East Component
GGVNS	m/s	GPS Ground Speed Vector, North Component
GSF	m/s	Inertial Ground Speed
HGM232	m	Geometric (Radar) Altitude (APN-232)
HOUR	hour	Raw Tape Time Component
LAT	degree_N	Inertial Latitude
LON	degree_E	Inertial Longitude
MINUTE	minute	Raw Tape Time Component
MONTH	month	Raw Tape Date Component
PITCH	degree	Aircraft Pitch Angle
PSFD	mbar	Raw Static Pressure, Fuselage Digital
PSFRD	mbar	Raw Static Pressure, Fuselage (Ruska)
ROLL	degree	Aircraft Roll Angle
SECOND	s	Raw Tape Time Component
THDG	degree_T	Aircraft True Heading Angle
TKAT	degree_T	IRS Track Angle, True
VEW	m/s	Inertial Ground Speed Vector, East Component
VNS	m/s	Inertial Ground Speed Vector, North Component
VSPD	m/s	IRS-Computed Aircraft Vertical Velocity
YEAR	year	Raw Tape Date Component
AKRD	degree	Attack Angle, Radome Diff. Pressure
AQRATIO	None	Radome Pressure Ratio
ATRL	deg_C	Ambient Temperature, Radome Left
ATRR	deg_C	Ambient Temperature, Radome Right
ATTACK	degree	Attack Angle, Reference
ATWH	deg_C	Ambient Temperature, Deiced Wing
ATX	deg_C	Ambient Temperature, Reference
CONCN	#/cm3	Condensation Nuclei (CN) Concentration
DPBC	deg_C	Dew Point Temperature, T-Electric Bottom
DPLA	deg_C	Dewpoint temperature, Lyman-alpha
DPLA1	deg_C	Dewpoint temperature, Lyman-alpha 1
DPTC	deg_C	Dew Point Temperature, T-Electric Top
DPXC	deg_C	Dew Point Temperature, Reference
EDPC	mbar	Ambient Water Vapor Pressure, Reference
FCNC	vlpm	Corrected CN Counter Sample Flow Rate
GGALTC	m	Corrected GPS Altitude
