   Component parts of 1997-891 FASTEX Project Summary Documentation Binder
    prepared by Ronald L. Ruth                               16 July 1997
______________________________________________________________________________
 
 File           Description                                   Format
 ------------   -------------------------------------------   -------------
 cover_le.wp6   FASTEX Cover Letter                           WordPerfect 6
 data_tap.wp6   FASTEX Raw Data Tape Log                      WordPerfect 6
 prod_bf_.asc   FASTEX Production netCDF Bitfile Log          ASCII
 pms2d_bf.asc   FASTEX Stripped PMS-2D Data MSS Bitfile Log   ASCII
 raw_ads_.asc   FASTEX Raw ADS Data MSS Bitfile Log           ASCII
 rsch_flt.wp6   FASTEX Research Flight Reports                WordPerfect 6
 data_qua.wp6   FASTEX Data Quality Summary (w/o figures)     WordPerfect 6
 dqs_fg1a.ps    FASTEX Data Quality Summary (Figure 1a)       PostScript
 dqs_fg1b.ps    FASTEX Data Quality Summary (Figure 1b)       PostScript
 dqs_fg2.ps     FASTEX Data Quality Summary (Figure 2)        PostScript
 dqs_fg3.ps     FASTEX Data Quality Summary (Figure 3)        PostScript
 dqs_fg4.ps     FASTEX Data Quality Summary (Figure 4)        PostScript
 iru_summ.wp6   FASTEX IRU Performance Summary                WordPerfect 6
 instrume.wp6   FASTEX Aircraft Research Instrumentation      WordPerfect 6
 out_var_.frm   FASTEX Production Output Variable List        FrameMaker
 out_var_.asc   FASTEX Production Output Variable List        ASCII
 netCDF_h.asc   FASTEX netCDF Header (RF01)                   ASCII
 video_ta.wp6   FASTEX Video Tape Log                         WordPerfect 6
 video_fm.wp6   FASTEX Video Titling Format                   WordPerfect 6
 netCDF_i.asc   netCDF Information                            ASCII
 (web URL*)     RAF Bulletin 9                                html
 (not avail.)   RAF Bulletin 22                               paper
 (not avail.)   RAF Bulletin 24                               paper
______________________________________________________________________________
 * URL:  http://raf.atd.ucar.edu/Bulletins/bulletin9.html
